"Status_Checking","Duration","Credit_history","Purpose","Credit_amount","Saving","Empolyment_duration","Installment_rate","Otherdebtors","Residence_Year","Property","Age","Other_installment_plan","Housing","Exisiting_credits","Job","Liable_People","Telephone","Foreign_worker","Credit_default","Sex","Marital_status"
"11","<0$",48,"existing_credits_paid_back_duly_till_now","business",4308,"<100$","<1year",3,"no",4,"life_insurance",24,"no","rent",1,"skilled",1,"no","yes",1,"F","divorced"
"12",">0<200$",12,"existing_credits_paid_back_duly_till_now","radio_television",1567,"<100$",">1year<=4years",1,"no",1,"car_other",22,"no","own",1,"skilled",1,"yes","yes",0,"F","divorced"
"13","<0$",24,"other_credits_existing_other_bank","car_new",1199,"<100$",">=7years",4,"no",4,"car_other",60,"no","own",2,"unskilled",1,"no","yes",1,"M","single"
"14","<0$",15,"existing_credits_paid_back_duly_till_now","car_new",1403,"<100$",">1year<=4years",2,"no",4,"car_other",28,"no","rent",1,"skilled",1,"no","yes",0,"F","divorced"
"15","<0$",24,"existing_credits_paid_back_duly_till_now","radio_television",1282,">100<500",">1year<=4years",4,"no",2,"car_other",32,"no","own",1,"unskilled",1,"no","yes",1,"F","divorced"
"16","no_savings",24,"other_credits_existing_other_bank","radio_television",2424,"no_savings",">=7years",4,"no",4,"life_insurance",53,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"17","<0$",30,"no_credits_taken","business",8072,"no_savings","<1year",2,"no",3,"car_other",25,"bank","own",3,"skilled",1,"no","yes",0,"M","single"
"18",">0<200$",24,"existing_credits_paid_back_duly_till_now","car_used",12579,"<100$",">=7years",4,"no",2,"no_property",44,"no","for_free",1,"self-employed",1,"yes","yes",1,"F","divorced"
"19","no_savings",24,"existing_credits_paid_back_duly_till_now","radio_television",3430,">500<1000",">=7years",3,"no",2,"car_other",31,"no","own",1,"skilled",2,"yes","yes",0,"M","single"
"20","no_savings",9,"other_credits_existing_other_bank","car_new",2134,"<100$",">1year<=4years",4,"no",4,"car_other",48,"no","own",3,"skilled",1,"yes","yes",0,"M","single"
"21","<0$",6,"existing_credits_paid_back_duly_till_now","radio_television",2647,">500<1000",">1year<=4years",2,"no",3,"real_estate",44,"no","rent",1,"skilled",2,"no","yes",0,"M","single"
"22","<0$",10,"other_credits_existing_other_bank","car_new",2241,"<100$","<1year",1,"no",3,"real_estate",48,"no","rent",2,"unskilled",2,"no","no",0,"M","single"
"23",">0<200$",12,"other_credits_existing_other_bank","car_used",1804,">100<500","<1year",3,"no",4,"life_insurance",44,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"24","no_savings",10,"other_credits_existing_other_bank","furniture/equipment",2069,"no_savings",">1year<=4years",2,"no",1,"car_other",26,"no","own",2,"skilled",1,"no","no",0,"M","married"
"25","<0$",6,"existing_credits_paid_back_duly_till_now","furniture/equipment",1374,"<100$",">1year<=4years",1,"no",2,"real_estate",36,"bank","own",1,"unskilled",1,"yes","yes",0,"M","single"
"26","no_savings",6,"no_credits_taken","radio_television",426,"<100$",">=7years",4,"no",4,"car_other",39,"no","own",1,"unskilled",1,"no","yes",0,"M","married"
"27",">200$",12,"all_credits_paid","radio_television",409,">=1000",">1year<=4years",3,"no",3,"real_estate",42,"no","rent",2,"skilled",1,"no","yes",0,"F","divorced"
"28",">0<200$",7,"existing_credits_paid_back_duly_till_now","radio_television",2415,"<100$",">1year<=4years",3,"guarantor",2,"real_estate",34,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"29","<0$",60,"delay_pay_past","business",6836,"<100$",">=7years",3,"no",4,"no_property",63,"no","own",2,"skilled",1,"yes","yes",1,"M","single"
"30",">0<200$",18,"existing_credits_paid_back_duly_till_now","business",1913,">=1000","<1year",3,"no",3,"real_estate",36,"bank","own",1,"skilled",1,"yes","yes",0,"M","married"
"31","<0$",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",4020,"<100$",">1year<=4years",2,"no",2,"car_other",27,"stores","own",1,"skilled",1,"no","yes",0,"M","single"
"32",">0<200$",18,"existing_credits_paid_back_duly_till_now","car_new",5866,">100<500",">1year<=4years",2,"no",2,"car_other",30,"no","own",2,"skilled",1,"yes","yes",0,"M","single"
"33","no_savings",12,"other_credits_existing_other_bank","business",1264,"no_savings",">=7years",4,"no",4,"no_property",57,"no","rent",1,"unskilled",1,"no","yes",0,"M","single"
"34",">200$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",1474,"<100$","<1year",4,"no",1,"life_insurance",33,"bank","own",1,"self-employed",1,"yes","yes",0,"F","divorced"
"35",">0<200$",45,"other_credits_existing_other_bank","radio_television",4746,"<100$","<1year",4,"no",2,"life_insurance",25,"no","own",2,"unskilled",1,"no","yes",1,"M","single"
"36","no_savings",48,"other_credits_existing_other_bank","education",6110,"<100$",">1year<=4years",1,"no",3,"no_property",31,"bank","for_free",1,"skilled",1,"yes","yes",0,"M","single"
"37",">200$",18,"existing_credits_paid_back_duly_till_now","radio_television",2100,"<100$",">1year<=4years",4,"co_applicant",2,"real_estate",37,"stores","own",1,"skilled",1,"no","yes",1,"M","single"
"38",">200$",10,"existing_credits_paid_back_duly_till_now","domestic_appliances",1225,"<100$",">1year<=4years",2,"no",2,"car_other",37,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"39",">0<200$",9,"existing_credits_paid_back_duly_till_now","radio_television",458,"<100$",">1year<=4years",4,"no",3,"real_estate",24,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"40","no_savings",30,"existing_credits_paid_back_duly_till_now","radio_television",2333,">500<1000",">=7years",4,"no",2,"car_other",30,"bank","own",1,"self-employed",1,"no","yes",0,"M","single"
"41",">0<200$",12,"existing_credits_paid_back_duly_till_now","radio_television",1158,">500<1000",">1year<=4years",3,"no",1,"car_other",26,"no","own",1,"skilled",1,"yes","yes",0,"M","divorced"
"42",">0<200$",18,"delay_pay_past","repairs",6204,"<100$",">1year<=4years",2,"no",4,"real_estate",44,"no","own",1,"unskilled",2,"yes","yes",0,"M","single"
"43","<0$",30,"other_credits_existing_other_bank","car_used",6187,">100<500",">4years<=7years",1,"no",4,"car_other",24,"no","rent",2,"skilled",1,"no","yes",0,"M","married"
"44","<0$",48,"other_credits_existing_other_bank","car_used",6143,"<100$",">=7years",4,"no",4,"no_property",58,"stores","for_free",2,"unskilled",1,"no","yes",1,"F","divorced"
"45","no_savings",11,"other_credits_existing_other_bank","car_new",1393,"<100$","<1year",4,"no",4,"car_other",35,"no","own",2,"self-employed",1,"no","yes",0,"F","divorced"
"46","no_savings",36,"existing_credits_paid_back_duly_till_now","radio_television",2299,">500<1000",">=7years",4,"no",4,"car_other",39,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"47","<0$",6,"existing_credits_paid_back_duly_till_now","car_used",1352,">500<1000","unemployed",1,"no",2,"life_insurance",23,"no","rent",1,"unemployed",1,"yes","yes",0,"F","divorced"
"48","no_savings",11,"other_credits_existing_other_bank","car_new",7228,"<100$",">1year<=4years",1,"no",4,"life_insurance",39,"no","own",2,"unskilled",1,"no","yes",0,"M","single"
"49","no_savings",12,"existing_credits_paid_back_duly_till_now","radio_television",2073,">100<500",">1year<=4years",4,"co_applicant",2,"real_estate",28,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"50",">0<200$",24,"delay_pay_past","furniture/equipment",2333,"no_savings","<1year",4,"no",2,"life_insurance",29,"bank","own",1,"unskilled",1,"no","yes",0,"M","single"
"51",">0<200$",27,"delay_pay_past","car_used",5965,"<100$",">=7years",1,"no",2,"car_other",30,"no","own",2,"self-employed",1,"yes","yes",0,"M","single"
"52","no_savings",12,"existing_credits_paid_back_duly_till_now","radio_television",1262,"<100$",">1year<=4years",3,"no",2,"car_other",25,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"53","no_savings",18,"existing_credits_paid_back_duly_till_now","car_used",3378,"no_savings",">1year<=4years",2,"no",1,"life_insurance",31,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"54",">0<200$",36,"delay_pay_past","car_new",2225,"<100$",">=7years",4,"no",4,"no_property",57,"bank","for_free",2,"skilled",1,"yes","yes",1,"M","single"
"55","no_savings",6,"all_credits_paid","car_new",783,"no_savings",">1year<=4years",1,"guarantor",2,"real_estate",26,"stores","own",1,"unskilled",2,"no","yes",0,"M","single"
"56",">0<200$",12,"existing_credits_paid_back_duly_till_now","radio_television",6468,"no_savings","unemployed",2,"no",1,"no_property",52,"no","own",1,"self-employed",1,"yes","yes",1,"M","single"
"57","no_savings",36,"other_credits_existing_other_bank","radio_television",9566,"<100$",">1year<=4years",2,"no",2,"car_other",31,"stores","own",2,"skilled",1,"no","yes",0,"F","divorced"
"58",">200$",18,"existing_credits_paid_back_duly_till_now","car_new",1961,"<100$",">=7years",3,"no",2,"car_other",23,"no","own",1,"self-employed",1,"no","yes",0,"F","divorced"
"59","<0$",36,"other_credits_existing_other_bank","furniture/equipment",6229,"<100$","<1year",4,"co_applicant",4,"no_property",23,"no","rent",2,"unskilled",1,"yes","yes",1,"F","divorced"
"60",">0<200$",9,"existing_credits_paid_back_duly_till_now","business",1391,"<100$",">1year<=4years",2,"no",1,"real_estate",27,"bank","own",1,"skilled",1,"yes","yes",0,"M","married"
"61",">0<200$",15,"other_credits_existing_other_bank","radio_television",1537,"no_savings",">=7years",4,"guarantor",4,"real_estate",50,"no","own",2,"skilled",1,"yes","yes",0,"M","single"
"62",">0<200$",36,"no_credits_taken","business",1953,"<100$",">=7years",4,"no",4,"no_property",61,"no","for_free",1,"self-employed",1,"yes","yes",1,"M","single"
"63",">0<200$",48,"no_credits_taken","business",14421,"<100$",">1year<=4years",2,"no",2,"car_other",25,"no","own",1,"skilled",1,"yes","yes",1,"M","single"
"64","no_savings",24,"existing_credits_paid_back_duly_till_now","radio_television",3181,"<100$","<1year",4,"no",4,"life_insurance",26,"no","own",1,"skilled",1,"yes","yes",0,"F","divorced"
"65","no_savings",27,"existing_credits_paid_back_duly_till_now","repairs",5190,"no_savings",">=7years",4,"no",4,"life_insurance",48,"no","own",4,"skilled",2,"yes","yes",0,"M","single"
"66","no_savings",12,"existing_credits_paid_back_duly_till_now","radio_television",2171,"<100$","<1year",2,"no",2,"car_other",29,"bank","own",1,"skilled",1,"no","yes",0,"F","divorced"
"67",">0<200$",12,"existing_credits_paid_back_duly_till_now","car_new",1007,">=1000",">1year<=4years",4,"no",1,"real_estate",22,"no","own",1,"skilled",1,"no","yes",0,"M","married"
"68","no_savings",36,"existing_credits_paid_back_duly_till_now","education",1819,"<100$",">1year<=4years",4,"no",4,"no_property",37,"stores","for_free",1,"skilled",1,"yes","yes",1,"M","single"
"69","no_savings",36,"existing_credits_paid_back_duly_till_now","radio_television",2394,"no_savings",">1year<=4years",4,"no",4,"car_other",25,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"70","no_savings",36,"existing_credits_paid_back_duly_till_now","car_used",8133,"<100$",">1year<=4years",1,"no",2,"life_insurance",30,"bank","own",1,"skilled",1,"no","yes",0,"F","divorced"
"71","no_savings",7,"other_credits_existing_other_bank","radio_television",730,"no_savings",">=7years",4,"no",2,"life_insurance",46,"no","rent",2,"unskilled",1,"yes","yes",0,"M","single"
"72","<0$",8,"other_credits_existing_other_bank","car_used0",1164,"<100$",">=7years",3,"no",4,"no_property",51,"bank","for_free",2,"self-employed",2,"yes","yes",0,"M","single"
"73",">0<200$",42,"other_credits_existing_other_bank","business",5954,"<100$",">4years<=7years",2,"no",1,"real_estate",41,"bank","own",2,"unskilled",1,"no","yes",0,"F","divorced"
"74","<0$",36,"existing_credits_paid_back_duly_till_now","education",1977,"no_savings",">=7years",4,"no",4,"no_property",40,"no","own",1,"self-employed",1,"yes","yes",1,"M","single"
"75","<0$",12,"other_credits_existing_other_bank","car_used",1526,"<100$",">=7years",4,"no",4,"no_property",66,"no","for_free",2,"self-employed",1,"no","yes",0,"M","single"
"76","<0$",42,"existing_credits_paid_back_duly_till_now","radio_television",3965,"<100$","<1year",4,"no",3,"car_other",34,"no","own",1,"skilled",1,"no","yes",1,"M","single"
"77",">0<200$",11,"delay_pay_past","radio_television",4771,"<100$",">4years<=7years",2,"no",4,"life_insurance",51,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"78","no_savings",54,"no_credits_taken","car_used",9436,"no_savings",">1year<=4years",2,"no",2,"life_insurance",39,"no","own",1,"unskilled",2,"no","yes",0,"M","single"
"79",">0<200$",30,"existing_credits_paid_back_duly_till_now","furniture/equipment",3832,"<100$","<1year",2,"no",1,"life_insurance",22,"no","own",1,"skilled",1,"no","yes",0,"M","married"
"80","no_savings",24,"existing_credits_paid_back_duly_till_now","radio_television",5943,"no_savings","<1year",1,"no",1,"car_other",44,"no","own",2,"skilled",1,"yes","yes",1,"F","divorced"
"81","no_savings",15,"existing_credits_paid_back_duly_till_now","radio_television",1213,">500<1000",">=7years",4,"no",3,"life_insurance",47,"stores","own",1,"skilled",1,"yes","yes",0,"M","single"
"82","no_savings",18,"existing_credits_paid_back_duly_till_now","business",1568,">100<500",">1year<=4years",3,"no",4,"life_insurance",24,"no","rent",1,"unskilled",1,"no","yes",0,"F","divorced"
"83","<0$",24,"existing_credits_paid_back_duly_till_now","car_used0",1755,"<100$",">=7years",4,"guarantor",4,"real_estate",58,"no","own",1,"unskilled",1,"yes","yes",0,"F","divorced"
"84","<0$",10,"existing_credits_paid_back_duly_till_now","radio_television",2315,"<100$",">=7years",3,"no",4,"real_estate",52,"no","own",1,"unskilled",1,"no","yes",0,"M","single"
"85","no_savings",12,"other_credits_existing_other_bank","business",1412,"<100$",">1year<=4years",4,"guarantor",2,"real_estate",29,"no","own",2,"self-employed",1,"yes","yes",0,"F","divorced"
"86",">0<200$",18,"other_credits_existing_other_bank","furniture/equipment",1295,"<100$","<1year",4,"no",1,"life_insurance",27,"no","own",2,"skilled",1,"no","yes",0,"F","divorced"
"87",">0<200$",36,"existing_credits_paid_back_duly_till_now","education",12612,">100<500",">1year<=4years",1,"no",4,"no_property",47,"no","for_free",1,"skilled",2,"yes","yes",1,"M","single"
"88","<0$",18,"existing_credits_paid_back_duly_till_now","car_new",2249,">100<500",">4years<=7years",4,"no",3,"car_other",30,"no","own",1,"self-employed",2,"yes","yes",0,"M","single"
"89","<0$",12,"no_credits_taken","repairs",1108,"<100$",">4years<=7years",4,"no",3,"real_estate",28,"no","own",2,"skilled",1,"no","yes",1,"M","single"
"90","no_savings",12,"other_credits_existing_other_bank","radio_television",618,"<100$",">=7years",4,"no",4,"real_estate",56,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"91","<0$",12,"other_credits_existing_other_bank","car_used",1409,"<100$",">=7years",4,"no",3,"real_estate",54,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"92","no_savings",12,"other_credits_existing_other_bank","radio_television",797,"no_savings",">=7years",4,"no",3,"life_insurance",33,"bank","own",1,"unskilled",2,"no","yes",1,"F","divorced"
"93",">200$",24,"other_credits_existing_other_bank","furniture/equipment",3617,"no_savings",">=7years",4,"co_applicant",4,"no_property",20,"no","rent",2,"skilled",1,"no","yes",0,"M","single"
"94",">0<200$",12,"existing_credits_paid_back_duly_till_now","car_new",1318,">=1000",">=7years",4,"no",4,"real_estate",54,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"95",">0<200$",54,"no_credits_taken","business",15945,"<100$","<1year",3,"no",4,"no_property",58,"no","rent",1,"skilled",1,"yes","yes",1,"M","single"
"96","no_savings",12,"other_credits_existing_other_bank","education",2012,"no_savings",">4years<=7years",4,"no",2,"car_other",61,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"97",">0<200$",18,"existing_credits_paid_back_duly_till_now","business",2622,">100<500",">1year<=4years",4,"no",4,"car_other",34,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"98",">0<200$",36,"other_credits_existing_other_bank","radio_television",2337,"<100$",">=7years",4,"no",4,"real_estate",36,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"99",">0<200$",20,"delay_pay_past","car_used",7057,"no_savings",">4years<=7years",3,"no",4,"life_insurance",36,"bank","rent",2,"self-employed",2,"yes","yes",0,"M","single"
"100","no_savings",24,"existing_credits_paid_back_duly_till_now","car_new",1469,">100<500",">=7years",4,"no",4,"real_estate",41,"no","rent",1,"unskilled",1,"no","yes",0,"M","married"
"101",">0<200$",36,"existing_credits_paid_back_duly_till_now","radio_television",2323,"<100$",">4years<=7years",4,"no",4,"car_other",24,"no","rent",1,"skilled",1,"no","yes",0,"M","single"
"102","no_savings",6,"delay_pay_past","radio_television",932,"<100$",">1year<=4years",3,"no",2,"real_estate",24,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"103",">0<200$",9,"other_credits_existing_other_bank","furniture/equipment",1919,"<100$",">4years<=7years",4,"no",3,"car_other",35,"no","rent",1,"skilled",1,"yes","yes",0,"M","single"
"104","no_savings",12,"existing_credits_paid_back_duly_till_now","car_used",2445,"no_savings","<1year",2,"no",4,"car_other",26,"no","rent",1,"skilled",1,"yes","yes",0,"M","married"
"105",">0<200$",24,"other_credits_existing_other_bank","car_used0",11938,"<100$",">1year<=4years",2,"co_applicant",3,"car_other",39,"no","own",2,"self-employed",2,"yes","yes",1,"M","single"
"106","no_savings",18,"all_credits_paid","car_new",6458,"<100$",">=7years",2,"no",4,"no_property",39,"bank","own",2,"self-employed",2,"yes","yes",1,"M","single"
"107",">0<200$",12,"existing_credits_paid_back_duly_till_now","car_new",6078,"<100$",">4years<=7years",2,"no",2,"car_other",32,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"108","<0$",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",7721,"no_savings","<1year",1,"no",2,"life_insurance",30,"no","own",1,"skilled",1,"yes","no",0,"F","divorced"
"109",">0<200$",14,"existing_credits_paid_back_duly_till_now","business",1410,">500<1000",">=7years",1,"no",2,"real_estate",35,"no","own",1,"skilled",1,"yes","yes",0,"M","married"
"110",">0<200$",6,"delay_pay_past","business",1449,">100<500",">=7years",1,"no",2,"car_other",31,"bank","own",2,"skilled",2,"no","yes",0,"M","divorced"
"111",">200$",15,"existing_credits_paid_back_duly_till_now","education",392,"<100$","<1year",4,"no",4,"life_insurance",23,"no","rent",1,"skilled",1,"yes","yes",0,"F","divorced"
"112",">0<200$",18,"existing_credits_paid_back_duly_till_now","car_new",6260,"<100$",">4years<=7years",3,"no",3,"real_estate",28,"no","rent",1,"unskilled",1,"no","yes",0,"M","single"
"113","no_savings",36,"other_credits_existing_other_bank","car_new",7855,"<100$",">1year<=4years",4,"no",2,"real_estate",25,"stores","own",2,"skilled",1,"yes","yes",1,"F","divorced"
"114","<0$",12,"existing_credits_paid_back_duly_till_now","radio_television",1680,">500<1000",">=7years",3,"no",1,"real_estate",35,"no","own",1,"skilled",1,"no","yes",0,"M","married"
"115","no_savings",48,"other_credits_existing_other_bank","radio_television",3578,"no_savings",">=7years",4,"no",1,"real_estate",47,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"116","<0$",42,"existing_credits_paid_back_duly_till_now","radio_television",7174,"no_savings",">4years<=7years",4,"no",3,"car_other",30,"no","own",1,"self-employed",1,"yes","yes",1,"F","divorced"
"117","<0$",10,"other_credits_existing_other_bank","furniture/equipment",2132,"no_savings","<1year",2,"co_applicant",3,"real_estate",27,"no","rent",2,"skilled",1,"no","no",0,"F","divorced"
"118","<0$",33,"other_credits_existing_other_bank","furniture/equipment",4281,">500<1000",">1year<=4years",1,"no",4,"car_other",23,"no","own",2,"skilled",1,"no","yes",1,"F","divorced"
"119",">0<200$",12,"other_credits_existing_other_bank","car_new",2366,">500<1000",">4years<=7years",3,"no",3,"car_other",36,"no","own",1,"self-employed",1,"yes","yes",0,"M","divorced"
"120","<0$",21,"existing_credits_paid_back_duly_till_now","radio_television",1835,"<100$",">1year<=4years",3,"no",2,"real_estate",25,"no","own",2,"skilled",1,"yes","yes",1,"F","divorced"
"121","no_savings",24,"other_credits_existing_other_bank","car_used",3868,"<100$",">=7years",4,"no",2,"car_other",41,"no","rent",2,"self-employed",1,"yes","yes",0,"F","divorced"
"122","no_savings",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",1768,"<100$",">1year<=4years",3,"no",2,"real_estate",24,"no","rent",1,"unskilled",1,"no","yes",0,"M","single"
"123",">200$",10,"other_credits_existing_other_bank","car_new",781,"<100$",">=7years",4,"no",4,"no_property",63,"no","for_free",2,"skilled",1,"yes","yes",0,"M","single"
"124",">0<200$",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",1924,"no_savings","<1year",4,"no",3,"real_estate",27,"no","rent",1,"skilled",1,"no","yes",1,"F","divorced"
"125","<0$",12,"other_credits_existing_other_bank","car_new",2121,"<100$",">1year<=4years",4,"no",2,"life_insurance",30,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"126","<0$",12,"existing_credits_paid_back_duly_till_now","radio_television",701,"<100$",">1year<=4years",4,"no",2,"real_estate",40,"no","own",1,"unskilled",1,"no","yes",0,"M","married"
"127",">0<200$",12,"existing_credits_paid_back_duly_till_now","repairs",639,"<100$",">1year<=4years",4,"no",2,"car_other",30,"no","own",1,"skilled",1,"no","yes",1,"M","single"
"128",">0<200$",12,"other_credits_existing_other_bank","car_used",1860,"<100$","unemployed",4,"no",2,"car_other",34,"no","own",2,"self-employed",1,"yes","yes",0,"M","single"
"129","<0$",12,"other_credits_existing_other_bank","car_new",3499,"<100$",">1year<=4years",3,"co_applicant",2,"real_estate",29,"no","own",2,"skilled",1,"no","yes",1,"F","divorced"
"130",">0<200$",48,"existing_credits_paid_back_duly_till_now","car_new",8487,"no_savings",">4years<=7years",1,"no",2,"car_other",24,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"131","<0$",36,"delay_pay_past","education",6887,"<100$",">1year<=4years",4,"no",3,"life_insurance",29,"stores","own",1,"skilled",1,"yes","yes",1,"M","single"
"132","no_savings",15,"existing_credits_paid_back_duly_till_now","furniture/equipment",2708,"<100$","<1year",2,"no",3,"life_insurance",27,"bank","own",2,"unskilled",1,"no","yes",0,"M","single"
"133","no_savings",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",1984,"<100$",">1year<=4years",4,"no",4,"no_property",47,"bank","for_free",2,"skilled",1,"no","yes",0,"M","single"
"134","no_savings",60,"existing_credits_paid_back_duly_till_now","radio_television",10144,">100<500",">4years<=7years",2,"no",4,"real_estate",21,"no","own",1,"skilled",1,"yes","yes",0,"F","divorced"
"135","no_savings",12,"other_credits_existing_other_bank","radio_television",1240,"no_savings",">=7years",4,"no",2,"real_estate",38,"no","own",2,"skilled",1,"yes","yes",0,"F","divorced"
"136","no_savings",27,"delay_pay_past","car_used",8613,">=1000",">1year<=4years",2,"no",2,"car_other",27,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"137",">0<200$",12,"existing_credits_paid_back_duly_till_now","radio_television",766,">500<1000",">1year<=4years",4,"no",3,"real_estate",66,"no","own",1,"unskilled",1,"no","yes",1,"M","single"
"138",">0<200$",15,"other_credits_existing_other_bank","radio_television",2728,"no_savings",">4years<=7years",4,"guarantor",2,"real_estate",35,"bank","own",3,"skilled",1,"yes","yes",0,"M","single"
"139",">200$",12,"existing_credits_paid_back_duly_till_now","radio_television",1881,"<100$",">1year<=4years",2,"no",2,"car_other",44,"no","rent",1,"unskilled",1,"yes","yes",0,"F","divorced"
"140",">200$",6,"existing_credits_paid_back_duly_till_now","car_new",709,">=1000","<1year",2,"no",2,"real_estate",27,"no","own",1,"unemployed",1,"no","no",0,"M","married"
"141",">0<200$",36,"existing_credits_paid_back_duly_till_now","radio_television",4795,"<100$","<1year",4,"no",1,"no_property",30,"no","own",1,"self-employed",1,"yes","yes",0,"F","divorced"
"142","<0$",27,"existing_credits_paid_back_duly_till_now","radio_television",3416,"<100$",">1year<=4years",3,"no",2,"car_other",27,"no","own",1,"self-employed",1,"no","yes",0,"M","single"
"143","<0$",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",2462,"<100$",">1year<=4years",2,"no",2,"car_other",22,"no","own",1,"skilled",1,"no","yes",1,"M","single"
"144","no_savings",21,"other_credits_existing_other_bank","furniture/equipment",2288,"<100$","<1year",4,"no",4,"life_insurance",23,"no","own",1,"skilled",1,"yes","yes",0,"F","divorced"
"145",">0<200$",48,"all_credits_paid","business",3566,">100<500",">4years<=7years",4,"no",2,"car_other",30,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"146","<0$",6,"other_credits_existing_other_bank","car_new",860,"<100$",">=7years",1,"no",4,"no_property",39,"no","own",2,"skilled",1,"yes","yes",0,"F","divorced"
"147","no_savings",12,"other_credits_existing_other_bank","car_new",682,">100<500",">4years<=7years",4,"no",3,"car_other",51,"no","own",2,"skilled",1,"yes","yes",0,"F","divorced"
"148","<0$",36,"other_credits_existing_other_bank","furniture/equipment",5371,"<100$",">1year<=4years",3,"guarantor",2,"life_insurance",28,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"149","no_savings",18,"other_credits_existing_other_bank","radio_television",1582,">=1000",">=7years",4,"no",4,"car_other",46,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"150","no_savings",6,"existing_credits_paid_back_duly_till_now","radio_television",1346,">100<500",">=7years",2,"no",4,"no_property",42,"bank","for_free",1,"skilled",2,"yes","yes",0,"M","single"
"151","no_savings",10,"existing_credits_paid_back_duly_till_now","radio_television",1924,"<100$",">1year<=4years",1,"no",4,"life_insurance",38,"no","own",1,"skilled",1,"yes","no",0,"M","single"
"152",">200$",36,"existing_credits_paid_back_duly_till_now","radio_television",5848,"<100$",">1year<=4years",4,"no",1,"car_other",24,"no","own",1,"skilled",1,"no","yes",0,"M","single"
